director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined,Combined1
Rob Reiner,Woody Harrelson,Tommy Lee Jones,English,USA,Drama History Thriller,Shock and Awe,Rob Reiner Woody Harrelson Tommy Lee Jones Drama History Thriller Shock and Awe,Shock and Awe English Drama History Thriller
Ol Parker,Lily James,Amanda Seyfried,English,USA,Comedy Romance,Mamma Mia! Here We Go Again,Ol Parker Lily James Amanda Seyfried Comedy Romance Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again English Comedy Romance
Antoine Fuqua,Denzel Washington,Ashton Sanders,English,USA,Action Thriller Crime,The Equalizer 2,Antoine Fuqua Denzel Washington Ashton Sanders Action Thriller Crime The Equalizer 2,The Equalizer 2 English Action Thriller Crime
Carlos López Estrada,Janina Gavankar,Ethan Embry,English,USA,Comedy Drama,Blindspotting,Carlos López Estrada Janina Gavankar Ethan Embry Comedy Drama Blindspotting,Blindspotting English Comedy Drama
Stephen Susco,Colin Woodell,Rebecca Rittenhouse,English,USA,Horror Thriller Mystery,Unfriended: Dark Web,Stephen Susco Colin Woodell Rebecca Rittenhouse Horror Thriller Mystery Unfriended: Dark Web,Unfriended: Dark Web English Horror Thriller Mystery
Édouard Deluc,Vincent Cassel,Tuheï Adams,English,USA,Drama Romance,Gauguin – Voyage de Tahiti,Édouard Deluc Vincent Cassel Tuheï Adams Drama Romance Gauguin – Voyage de Tahiti,Gauguin – Voyage de Tahiti English Drama Romance
Christopher McQuarrie,Tom Cruise,Henry Cavill,English,USA,Action Adventure,Mission: Impossible – Fallout,Christopher McQuarrie Tom Cruise Henry Cavill Action Adventure Mission: Impossible – Fallout,Mission: Impossible – Fallout English Action Adventure
Peter Rida Michail,Scott Menville,Khary Payton,English,USA,Animation Action Comedy Science Fiction,Teen Titans Go! To the Movies,Peter Rida Michail Scott Menville Khary Payton Animation Action Comedy Science Fiction Teen Titans Go! To the Movies,Teen Titans Go! To the Movies English Animation Action Comedy Science Fiction
Elijah Bynum,Timothée Chalamet,Maika Monroe,English,USA,Drama Comedy,Hot Summer Nights,Elijah Bynum Timothée Chalamet Maika Monroe Drama Comedy Hot Summer Nights,Hot Summer Nights English Drama Comedy
Marc Turtletaub,Kelly Macdonald,Irrfan Khan,English,USA,Drama,Puzzle,Marc Turtletaub Kelly Macdonald Irrfan Khan Drama Puzzle,Puzzle English Drama
Ben Young,Michael Peña,Lizzy Caplan,English,USA,Action Drama Science Fiction Thriller,Extinction,Ben Young Michael Peña Lizzy Caplan Action Drama Science Fiction Thriller Extinction,Extinction English Action Drama Science Fiction Thriller
Marc Forster,Ewan McGregor,Hayley Atwell,English,USA,Adventure Comedy Family Fantasy,Christopher Robin,Marc Forster Ewan McGregor Hayley Atwell Adventure Comedy Family Fantasy Christopher Robin,Christopher Robin English Adventure Comedy Family Fantasy
Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,English,USA,Science Fiction Action Drama Romance Adventure Thriller,The Darkest Minds,Jennifer Yuh Nelson Amandla Stenberg Mandy Moore Science Fiction Action Drama Romance Adventure Thriller The Darkest Minds,The Darkest Minds English Science Fiction Action Drama Romance Adventure Thriller
Susanna Fogel,Mila Kunis,Kate McKinnon,English,USA,Action Comedy,The Spy Who Dumped Me,Susanna Fogel Mila Kunis Kate McKinnon Action Comedy The Spy Who Dumped Me,The Spy Who Dumped Me English Action Comedy
Desiree Akhavan,Chloë Grace Moretz,Sasha Lane,English,USA,Drama,The Miseducation of Cameron Post,Desiree Akhavan Chloë Grace Moretz Sasha Lane Drama The Miseducation of Cameron Post,The Miseducation of Cameron Post English Drama
Augustine Frizzell,Maia Mitchell,Camila Morrone,English,USA,Comedy,Never Goin' Back,Augustine Frizzell Maia Mitchell Camila Morrone Comedy Never Goin' Back,Never Goin' Back English Comedy
Ken Marino,Nina Dobrev,Finn Wolfhard,English,USA,Romance Comedy Drama,Dog Days,Ken Marino Nina Dobrev Finn Wolfhard Romance Comedy Drama Dog Days,Dog Days English Romance Comedy Drama
Jon Turteltaub,Jason Statham,Li Bingbing,English,USA,Action Science Fiction Horror,The Meg,Jon Turteltaub Jason Statham Li Bingbing Action Science Fiction Horror The Meg,The Meg English Action Science Fiction Horror
Spike Lee,John David Washington,Adam Driver,English,USA,Comedy Crime Drama History,BlacKkKlansman,Spike Lee John David Washington Adam Driver Comedy Crime Drama History BlacKkKlansman,BlacKkKlansman English Comedy Crime Drama History
Sylvain White,Joey King,Julia Goldani Telles,English,USA,Horror Mystery Thriller,Slender Man,Sylvain White Joey King Julia Goldani Telles Horror Mystery Thriller Slender Man,Slender Man English Horror Mystery Thriller
Jon M. Chu,Constance Wu,Henry Golding,English,USA,Comedy Drama Romance,Crazy Rich Asians,Jon M. Chu Constance Wu Henry Golding Comedy Drama Romance Crazy Rich Asians,Crazy Rich Asians English Comedy Drama Romance
Albert Hughes,Kodi Smit-McPhee,Leonor Varela,English,USA,Adventure Drama,Alpha,Albert Hughes Kodi Smit-McPhee Leonor Varela Adventure Drama Alpha,Alpha English Adventure Drama
Peter Berg,Mark Wahlberg,John Malkovich,English,USA,Action Thriller,Mile 22,Peter Berg Mark Wahlberg John Malkovich Action Thriller Mile 22,Mile 22 English Action Thriller
Björn Runge,Glenn Close,Jonathan Pryce,English,USA,Drama,The Wife,Björn Runge Glenn Close Jonathan Pryce Drama The Wife,The Wife English Drama
James Cox,Ansel Elgort,Taron Egerton,English,USA,Drama Thriller,Billionaire Boys Club,James Cox Ansel Elgort Taron Egerton Drama Thriller Billionaire Boys Club,Billionaire Boys Club English Drama Thriller
Jesse Peretz,Ethan Hawke,Rose Byrne,English,USA,Comedy Drama Romance,"Juliet, Naked","Jesse Peretz Ethan Hawke Rose Byrne Comedy Drama Romance Juliet, Naked","Juliet, Naked English Comedy Drama Romance"
Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,English,USA,Thriller Drama Fantasy Horror,Down a Dark Hall,Rodrigo Cortés AnnaSophia Robb Uma Thurman Thriller Drama Fantasy Horror Down a Dark Hall,Down a Dark Hall English Thriller Drama Fantasy Horror
Susan Johnson,Lana Condor,Noah Centineo,English,USA,Comedy Romance,To All the Boys I've Loved Before,Susan Johnson Lana Condor Noah Centineo Comedy Romance To All the Boys I've Loved Before,To All the Boys I've Loved Before English Comedy Romance
Brian Henson,Melissa McCarthy,Maya Rudolph,English,USA,Action Comedy Crime,The Happytime Murders,Brian Henson Melissa McCarthy Maya Rudolph Action Comedy Crime The Happytime Murders,The Happytime Murders English Action Comedy Crime
Aneesh Chaganty,John Cho,Debra Messing,English,USA,Thriller Mystery Drama,Searching,Aneesh Chaganty John Cho Debra Messing Thriller Mystery Drama Searching,Searching English Thriller Mystery Drama
Michael Noer,Charlie Hunnam,Rami Malek,English,USA,Drama History Crime,Papillon,Michael Noer Charlie Hunnam Rami Malek Drama History Crime Papillon,Papillon English Drama History Crime
Oliver Daly,Alex Neustaedter,Becky G,English,USA,Science Fiction Action Adventure Family,A.X.L.,Oliver Daly Alex Neustaedter Becky G Science Fiction Action Adventure Family A.X.L.,A.X.L. English Science Fiction Action Adventure Family
Chris Weitz,Oscar Isaac,Ben Kingsley,English,USA,Drama History Thriller,Operation Finale,Chris Weitz Oscar Isaac Ben Kingsley Drama History Thriller Operation Finale,Operation Finale English Drama History Thriller
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,English,USA,Thriller,Kin,"Jonathan Baker, Josh Baker Myles Truitt Jack Reynor Thriller Kin",Kin English Thriller
Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,English,USA,Mystery Drama Horror History,The Little Stranger,Lenny Abrahamson Domhnall Gleeson Ruth Wilson Mystery Drama Horror History The Little Stranger,The Little Stranger English Mystery Drama Horror History
Victor Levin,Winona Ryder,Keanu Reeves,English,USA,Romance Comedy Drama,Destination Wedding,Victor Levin Winona Ryder Keanu Reeves Romance Comedy Drama Destination Wedding,Destination Wedding English Romance Comedy Drama
Corin Hardy,Demián Bichir,Taissa Farmiga,English,USA,Horror Mystery Thriller,The Nun,Corin Hardy Demián Bichir Taissa Farmiga Horror Mystery Thriller The Nun,The Nun English Horror Mystery Thriller
Pierre Morel,Jennifer Garner,John Ortiz,English,USA,Action Thriller,Peppermint,Pierre Morel Jennifer Garner John Ortiz Action Thriller Peppermint,Peppermint English Action Thriller
Shane Black,Boyd Holbrook,Trevante Rhodes,English,USA,Science Fiction Action Adventure Comedy,The Predator,Shane Black Boyd Holbrook Trevante Rhodes Science Fiction Action Adventure Comedy The Predator,The Predator English Science Fiction Action Adventure Comedy
Yann Demange,Matthew McConaughey,Richie Merritt,English,USA,Crime Drama,White Boy Rick,Yann Demange Matthew McConaughey Richie Merritt Crime Drama White Boy Rick,White Boy Rick English Crime Drama
Paul Feig,Anna Kendrick,Blake Lively,English,USA,Crime Thriller Mystery Comedy,A Simple Favor,Paul Feig Anna Kendrick Blake Lively Crime Thriller Mystery Comedy A Simple Favor,A Simple Favor English Crime Thriller Mystery Comedy
Richard Eyre,Emma Thompson,Stanley Tucci,English,USA,Drama,The Children Act,Richard Eyre Emma Thompson Stanley Tucci Drama The Children Act,The Children Act English Drama
Craig William Macneill,Chloë Sevigny,Kristen Stewart,English,USA,Crime Drama Thriller,Lizzie,Craig William Macneill Chloë Sevigny Kristen Stewart Crime Drama Thriller Lizzie,Lizzie English Crime Drama Thriller
Harold Cronk,Samuel Hunt,Merritt Patterson,English,USA,Drama,Unbroken: Path to Redemption,Harold Cronk Samuel Hunt Merritt Patterson Drama Unbroken: Path to Redemption,Unbroken: Path to Redemption English Drama
Stephen Cognetti,Vasile Flutur,Jillian Geurts,English,USA,Horror,Hell House LLC II: The Abaddon Hotel,Stephen Cognetti Vasile Flutur Jillian Geurts Horror Hell House LLC II: The Abaddon Hotel,Hell House LLC II: The Abaddon Hotel English Horror
Eli Roth,Jack Black,Cate Blanchett,English,USA,Fantasy Family Comedy Horror,The House with a Clock in Its Walls,Eli Roth Jack Black Cate Blanchett Fantasy Family Comedy Horror The House with a Clock in Its Walls,The House with a Clock in Its Walls English Fantasy Family Comedy Horror
Dan Fogelman,Oscar Isaac,Olivia Wilde,English,USA,Drama Romance,Life Itself,Dan Fogelman Oscar Isaac Olivia Wilde Drama Romance Life Itself,Life Itself English Drama Romance
Jacques Audiard,John C. Reilly,Joaquin Phoenix,English,USA,Western Drama Adventure,The Sisters Brothers,Jacques Audiard John C. Reilly Joaquin Phoenix Western Drama Adventure The Sisters Brothers,The Sisters Brothers English Western Drama Adventure
Sam Levinson,Odessa Young,Suki Waterhouse,English,USA,Thriller Horror Comedy,Assassination Nation,Sam Levinson Odessa Young Suki Waterhouse Thriller Horror Comedy Assassination Nation,Assassination Nation English Thriller Horror Comedy
Wash Westmoreland,Keira Knightley,Dominic West,English,USA,Drama History,Colette,Wash Westmoreland Keira Knightley Dominic West Drama History Colette,Colette English Drama History
Kenji Nagasaki,Justin Briner,Christopher R. Sabat,English,USA,Animation Action Adventure Fantasy,My Hero Academia: Two Heroes,Kenji Nagasaki Justin Briner Christopher R. Sabat Animation Action Adventure Fantasy My Hero Academia: Two Heroes,My Hero Academia: Two Heroes English Animation Action Adventure Fantasy
Karey Kirkpatrick,Channing Tatum,James Corden,English,USA,Family Animation Adventure Fantasy,Smallfoot,Karey Kirkpatrick Channing Tatum James Corden Family Animation Adventure Fantasy Smallfoot,Smallfoot English Family Animation Adventure Fantasy
Malcolm D. Lee,Kevin Hart,Tiffany Haddish,English,USA,Comedy,Night School,Malcolm D. Lee Kevin Hart Tiffany Haddish Comedy Night School,Night School English Comedy
David Lowery,Robert Redford,Casey Affleck,English,USA,Comedy Crime Drama,The Old Man & the Gun,David Lowery Robert Redford Casey Affleck Comedy Crime Drama The Old Man & the Gun,The Old Man & the Gun English Comedy Crime Drama
Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,English,USA,Horror,Hell Fest,Gregory Plotkin Bex Taylor-Klaus Amy Forsyth Horror Hell Fest,Hell Fest English Horror
Ruben Fleischer,Tom Hardy,Michelle Williams,English,USA,Science Fiction Action,Venom,Ruben Fleischer Tom Hardy Michelle Williams Science Fiction Action Venom,Venom English Science Fiction Action
Bradley Cooper,Bradley Cooper,Lady Gaga,English,USA,Drama Romance,A Star Is Born,Bradley Cooper Bradley Cooper Lady Gaga Drama Romance A Star Is Born,A Star Is Born English Drama Romance
George Tillman Jr.,Amandla Stenberg,Regina Hall,English,USA,Crime Drama,The Hate U Give,George Tillman Jr. Amandla Stenberg Regina Hall Crime Drama The Hate U Give,The Hate U Give English Crime Drama
Rupert Everett,Rupert Everett,Colin Firth,English,USA,Drama,The Happy Prince,Rupert Everett Rupert Everett Colin Firth Drama The Happy Prince,The Happy Prince English Drama
Damien Chazelle,Ryan Gosling,Claire Foy,English,USA,History Drama,First Man,Damien Chazelle Ryan Gosling Claire Foy History Drama First Man,First Man English History Drama
Drew Goddard,Jeff Bridges,Cynthia Erivo,English,USA,Thriller Drama Mystery Crime,Bad Times at the El Royale,Drew Goddard Jeff Bridges Cynthia Erivo Thriller Drama Mystery Crime Bad Times at the El Royale,Bad Times at the El Royale English Thriller Drama Mystery Crime
Ari Sandel,Wendi McLendon-Covey,Madison Iseman,English,USA,Adventure Comedy Fantasy Family Horror,Goosebumps 2: Haunted Halloween,Ari Sandel Wendi McLendon-Covey Madison Iseman Adventure Comedy Fantasy Family Horror Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween English Adventure Comedy Fantasy Family Horror
Felix van Groeningen,Steve Carell,Timothée Chalamet,English,USA,Drama,Beautiful Boy,Felix van Groeningen Steve Carell Timothée Chalamet Drama Beautiful Boy,Beautiful Boy English Drama
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,English,USA,Comedy,The Oath,Ike Barinholtz Ike Barinholtz Tiffany Haddish Comedy The Oath,The Oath English Comedy
David Gordon Green,Jamie Lee Curtis,Judy Greer,English,USA,Horror Thriller,Halloween,David Gordon Green Jamie Lee Curtis Judy Greer Horror Thriller Halloween,Halloween English Horror Thriller
Marielle Heller,Melissa McCarthy,Richard E. Grant,English,USA,Drama Crime Comedy,Can You Ever Forgive Me?,Marielle Heller Melissa McCarthy Richard E. Grant Drama Crime Comedy Can You Ever Forgive Me?,Can You Ever Forgive Me? English Drama Crime Comedy
Jonah Hill,Sunny Suljic,Lucas Hedges,English,USA,Drama Comedy,Mid90s,Jonah Hill Sunny Suljic Lucas Hedges Drama Comedy Mid90s,Mid90s English Drama Comedy
Paul Dano,Carey Mulligan,Jake Gyllenhaal,English,USA,Drama,Wildlife,Paul Dano Carey Mulligan Jake Gyllenhaal Drama Wildlife,Wildlife English Drama
Elizabeth Chomko,Hilary Swank,Michael Shannon,English,USA,Drama,What They Had,Elizabeth Chomko Hilary Swank Michael Shannon Drama What They Had,What They Had English Drama
Donovan Marsh,Gerard Butler,Gary Oldman,English,USA,Action Thriller,Hunter Killer,Donovan Marsh Gerard Butler Gary Oldman Action Thriller Hunter Killer,Hunter Killer English Action Thriller
David Kerr,Rowan Atkinson,Olga Kurylenko,English,USA,Action Adventure Comedy,Johnny English Strikes Again,David Kerr Rowan Atkinson Olga Kurylenko Action Adventure Comedy Johnny English Strikes Again,Johnny English Strikes Again English Action Adventure Comedy
Luca Guadagnino,Dakota Johnson,Tilda Swinton,English,USA,Horror Thriller,Suspiria,Luca Guadagnino Dakota Johnson Tilda Swinton Horror Thriller Suspiria,Suspiria English Horror Thriller
David G. Evans,Sarah Drew,Justin Bruening,English,USA,Drama War,Indivisible,David G. Evans Sarah Drew Justin Bruening Drama War Indivisible,Indivisible English Drama War
David McCracken,Mike C. Nelson,Jenni Melear,English,USA,Action Drama Thriller,Bullitt County,David McCracken Mike C. Nelson Jenni Melear Action Drama Thriller Bullitt County,Bullitt County English Action Drama Thriller
Bryan Singer,Rami Malek,Lucy Boynton,English,USA,Music Drama History,Bohemian Rhapsody,Bryan Singer Rami Malek Lucy Boynton Music Drama History Bohemian Rhapsody,Bohemian Rhapsody English Music Drama History
"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,English,USA,Fantasy Adventure Family,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston Keira Knightley Mackenzie Foy Fantasy Adventure Family The Nutcracker and the Four Realms",The Nutcracker and the Four Realms English Fantasy Adventure Family
Tyler Perry,Tiffany Haddish,Tika Sumpter,English,USA,Drama Comedy,Nobody's Fool,Tyler Perry Tiffany Haddish Tika Sumpter Drama Comedy Nobody's Fool,Nobody's Fool English Drama Comedy
Joel Edgerton,Lucas Hedges,Nicole Kidman,English,USA,Drama,Boy Erased,Joel Edgerton Lucas Hedges Nicole Kidman Drama Boy Erased,Boy Erased English Drama
Matthew Heineman,Rosamund Pike,Jamie Dornan,English,USA,War Drama,A Private War,Matthew Heineman Rosamund Pike Jamie Dornan War Drama A Private War,A Private War English War Drama
